property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,floor_num,total_floors,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,maa bhagwati residency,sector 7,0.45,5000.0,2.0,2.0,1.0,0.2,Moderately Old,4.0,4.0,1000.0,0,0,0,0,0,2,14
flat,apna enclave,sector 3,0.5,7692.0,2.0,2.0,1.0,0.2,Old Property,1.0,3.0,722.0,0,0,0,0,0,0,28
flat,tulsiani easy in homes,sohna road,0.4,6723.0,2.0,2.0,3.0,0.2,New Property,12.0,14.0,661.0,0,0,0,0,0,2,31
flat,smart world orchard,sector 61,1.47,12250.0,2.0,2.0,2.0,0.2,Moderately Old,2.0,4.0,1333.0,1,0,0,0,0,2,53
flat,parkwood westend,sector 92,0.7,5204.0,2.0,2.0,3.0,0.2,Under Construction,5.0,8.0,1217.0,1,0,0,0,0,2,0
flat,signature global infinity mall,sector 36,0.41,6269.0,2.0,2.0,3.0,0.2,Moderately Old,3.0,3.0,654.0,0,0,0,0,0,2,0
flat,the cocoon,dwarka expressway,2.0,13333.0,3.0,3.0,3.0,0.2,New Property,5.0,25.0,1358.0,0,0,0,0,0,2,0
flat,ats triumph,sector 104,1.8,7860.0,3.0,4.0,3.0,0.2,New Property,14.0,27.0,2544.0,0,0,0,0,0,2,46
flat,vatika xpressions,sector 88b,1.1,8148.0,2.0,4.0,3.0,0.2,Under Construction,2.0,3.0,1350.0,1,0,0,0,0,2,46
flat,raheja revanta,sector 78,4.75,16886.0,3.0,3.0,2.0,0.2,Moderately Old,31.0,40.0,2813.0,0,1,0,0,0,2,52
flat,signature global city 81,sector 81,0.96,9766.0,2.0,2.0,2.0,0.2,Moderately Old,1.0,4.0,1194.0,0,0,0,0,0,2,35
flat,hcbs sports ville,sohna road,0.29,5588.0,2.0,2.0,1.0,0.2,Moderately Old,4.0,13.0,577.0,0,0,0,0,0,2,35
flat,supertech araville,sector 79,1.35,6941.0,3.0,3.0,3.0,0.2,Moderately Old,4.0,15.0,2161.0,0,0,0,0,0,2,0
flat,godrej,sector 33,0.95,6859.0,2.0,2.0,3.0,0.2,Under Construction,3.0,20.0,1254.0,0,0,0,0,0,2,0
flat,shree vardhman flora,sector 90,0.7,5385.0,2.0,2.0,3.0,0.2,New Property,13.0,13.0,1177.0,1,0,0,0,0,2,15
