property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 7,2.0,2.0,1.0,Moderately Old,4.0,4.0,1171.0,0,0,0,Low,Low Floor,0.45
flat,sector 3,2.0,2.0,1.0,Old Property,1.0,3.0,846.0,0,0,1,Low,Low Floor,0.5
flat,sohna road,2.0,2.0,3.0,New Property,12.0,14.0,774.0,0,0,0,Medium,Low Floor,0.4
flat,sector 61,2.0,2.0,2.0,Under Construction,2.0,4.0,1561.0,0,0,0,Medium,Low Floor,1.47
flat,sector 92,2.0,2.0,3.0,Under Construction,5.0,8.0,1344.95,0,0,0,Low,Low Floor,0.7
flat,sector 36,2.0,2.0,3.0,New Property,3.0,3.0,654.01,0,0,0,Low,Low Floor,0.41
flat,dwarka expressway,3.0,3.0,3.0,New Property,5.0,25.0,1499.95,0,0,0,Low,Low Floor,2.0
flat,sector 104,3.0,4.0,3.0,New Property,14.0,27.0,2980.0,0,0,0,Medium,Low Floor,1.8
flat,sector 88b,2.0,4.0,3.0,Under Construction,2.0,3.0,1350.01,0,0,0,Medium,Low Floor,1.1
flat,sector 78,3.0,3.0,2.0,Under Construction,31.0,40.0,2813.04,1,0,0,Medium,Low Floor,4.75
flat,sector 81,2.0,2.0,2.0,Under Construction,1.0,4.0,1399.0,0,0,0,Medium,Low Floor,0.96
flat,sohna road,2.0,2.0,1.0,Moderately Old,4.0,13.0,675.0,0,0,0,Medium,Low Floor,0.29
flat,sector 79,3.0,3.0,3.0,Moderately Old,4.0,15.0,2531.0,0,0,0,Low,Low Floor,1.35
flat,sector 33,2.0,2.0,3.0,Under Construction,3.0,20.0,1384.99,0,0,0,Low,Low Floor,0.95
flat,sector 90,2.0,2.0,3.0,New Property,13.0,13.0,1299.96,0,0,0,Low,Low Floor,0.7
flat,sector 108,4.0,5.0,3.0,Moderately Old,25.0,25.0,2342.98,0,0,0,Low,Low Floor,3.95
flat,sector 62,1.0,1.0,0.0,Moderately Old,0.0,1.0,639.05,0,0,0,Low,Low Floor,0.9
flat,sector 102,2.0,2.0,2.0,Under Construction,0.0,14.0,1191.0,0,0,0,Medium,Low Floor,1.05
flat,sector-33 sohna,3.0,3.0,3.0,New Property,12.0,13.0,2100.04,1,0,1,Medium,Low Floor,2.2
flat,sector 89,2.0,2.0,2.0,Under Construction,4.0,4.0,1435.0,0,0,0,Medium,Low Floor,1.01
flat,sector 79,3.0,4.0,3.0,New Property,11.0,22.0,2149.98,1,0,0,Medium,Low Floor,1.85
flat,sector 89,2.0,3.0,3.0,Under Construction,4.0,4.0,1102.98,0,0,0,Low,Low Floor,0.86
flat,sector 102,3.0,3.0,3.0,Moderately Old,0.0,14.0,2635.0,1,0,1,High,Low Floor,1.85
flat,sector 113,3.0,3.0,3.0,New Property,10.0,25.0,2217.04,1,0,0,Medium,Low Floor,2.85
flat,sector 36,2.0,2.0,1.0,New Property,3.0,3.0,691.0,0,0,0,Low,Low Floor,0.42
flat,sector 65,3.0,4.0,2.0,Moderately Old,20.0,20.0,3355.0,0,0,0,Low,Low Floor,6.15
flat,sector 48,3.0,5.0,3.0,Moderately Old,5.0,17.0,3747.0,1,0,1,Medium,Low Floor,6.25
flat,sector 37c,2.0,2.0,2.0,Moderately Old,4.0,12.0,976.0,0,0,0,Low,Low Floor,0.42
flat,sector 3,2.0,2.0,0.0,Old Property,4.0,4.0,1056.05,0,0,0,Low,Low Floor,1.35
flat,new palam vihar,2.0,2.0,2.0,Moderately Old,1.0,4.0,773.0,0,0,0,Low,Low Floor,1.6
flat,sector 43,4.0,4.0,3.0,Moderately Old,12.0,12.0,3200.0,0,0,1,Medium,Low Floor,3.25
flat,sector 88a,2.0,2.0,1.0,New Property,8.0,12.0,814.0,0,0,0,Low,Low Floor,0.45
