feature,correlation,rf_importance,gb_importance,permutation_importance
built_up_area,0.21809809382203757,0.4936983415816348,0.4755603847533901,0.4405875826730635
bathroom,0.6174808820310242,0.051961524456433095,0.08671740907386488,0.12133568861452071
property_type,0.5048799612461019,0.08960169131151313,0.09694258957261787,0.10839176647146606
sector,-0.2161875384371524,0.0905551392986337,0.10663981953317984,0.10315539216668101
total_floors,-0.16066680746626402,0.06491760718594496,0.06575531271412248,0.08187018999428095
servant room,0.3947086194415536,0.03811929643699326,0.044686723310543214,0.07175340215915423
bedRoom,0.588627998250832,0.10497863366950189,0.10610883531317755,0.04583762728881391
store room,0.31112625637384334,0.00574793981022201,0.004774153324747319,0.007923418274852923
agePossession,-0.02232504114312373,0.006599487802617248,0.002432646286567496,0.007552192264907731
pooja room,0.32594400031533527,0.0044251298417487634,0.0002804851759152973,0.006640612556091363
study room,0.24026652845827903,0.008176304172923457,0.003813557015241907,0.005431759470442077
floor_num,-0.1761577130698591,0.0061512661423835996,0.0,0.004331954768155888
balcony,0.22258500744416154,0.009479838053591899,0.0018822589076624044,0.0025717881403219955
furnishing_type,0.2305296287750843,0.009155836067340932,0.0014984952868242081,0.0015592683075828172
luxury_category,-0.014409573884496823,0.008697719977962986,0.0015764534958096423,0.0006353719321393614
floor_category,0.3979493616109546,0.004018296338158694,0.0008623979339351695,-0.0005253287333764733
others,-0.018978314808391624,0.0037159478523956587,0.00046847830240069166,-0.000531153342041768
